step,loss
10,2.6783893585205076
20,2.257731246948242
30,2.0482465744018556
40,1.9031957626342773
50,1.864756965637207
60,1.7437309265136718
70,1.703993034362793
80,1.6274667739868165
90,1.6006633758544921
100,1.4839591979980469
110,1.5025544166564941
120,1.3746904373168944
130,1.4084563255310059
140,0.9878556251525878
150,1.0001176834106444
160,0.9891237258911133
170,1.0061394691467285
180,0.9744358062744141
190,0.9086971282958984
200,0.9760506629943848
210,0.8897642135620117
220,0.8853283882141113
230,0.9047093391418457
240,0.9350858688354492
250,0.956424331665039
